visit_date,condition,time_spent_homepage_sec
2018-04-01,build,49.01160898
2018-04-01,build,48.86451536
2018-04-01,build,49.07466688
2018-04-01,build,49.26010875
2018-04-01,build,50.37189779
2018-04-01,build,49.08457948
2018-04-01,build,50.47326326
2018-04-01,build,50.4510814
2018-04-01,build,49.91106051
2018-04-01,build,49.8963902
2018-04-01,build,51.08966805
2018-04-01,build,48.90248935
2018-04-01,build,48.48730867
2018-04-01,build,49.43072679
2018-04-01,build,49.33098001
2018-04-01,build,49.37079101
2018-04-01,build,52.07595896
2018-04-01,build,47.88585304
2018-04-01,build,47.98470676
2018-04-01,build,50.72990586
2018-04-01,build,49.47639899
2018-04-01,build,49.70148703
2018-04-01,build,50.76077008
2018-04-01,build,50.11233872
2018-04-01,build,50.81461073
2018-04-01,build,50.59239668
2018-04-01,build,50.52619899
2018-04-01,build,51.15566063
2018-04-01,build,51.24035591
2018-04-01,build,49.3401876
2018-04-01,build,50.68632651
2018-04-01,build,50.27952207
2018-04-01,build,52.07298809
2018-04-01,build,50.69942041
2018-04-01,build,49.34807292
2018-04-01,build,50.2568543
2018-04-01,build,50.28283171
2018-04-01,build,50.71285178
2018-04-01,build,49.7039329
2018-04-01,build,50.51419443
2018-04-01,build,50.5524453
2018-04-01,build,51.07366116
2018-04-01,build,50.17048593
2018-04-01,build,50.33748156
2018-04-01,build,50.59172967
2018-04-01,build,50.80513002
2018-04-01,build,48.68162757
2018-04-01,build,49.68535733
2018-04-01,build,49.4281726
2018-04-01,build,50.22259846
2018-04-01,build,49.66792697
2018-04-01,build,49.46235961
2018-04-01,build,48.28401495
2018-04-01,build,50.62985537
2018-04-01,build,50.16109014
2018-04-01,build,50.49018816
2018-04-01,build,50.47706181
2018-04-01,build,48.30950358
2018-04-01,build,49.11692751
2018-04-01,build,51.81187291
2018-04-01,build,52.77053027
2018-04-01,build,51.31936758
2018-04-01,build,48.77592637
2018-04-01,build,49.09504951
2018-04-01,build,49.65130838
2018-04-01,build,48.52732498
2018-04-01,build,50.65997988
2018-04-01,build,49.56821832
2018-04-01,build,48.39109666
2018-04-01,build,48.27293342
2018-04-01,build,47.78331663
2018-04-01,build,48.38343193
2018-04-01,build,51.39617592
2018-04-01,build,49.60659246
2018-04-01,build,50.78655038
2018-04-01,build,51.48013787
2018-04-01,build,50.01544338
2018-04-01,build,49.16592252
2018-04-01,build,50.40914028
2018-04-01,build,51.72353228
2018-04-01,build,49.48590515
2018-04-01,build,51.3396372
2018-04-01,build,50.67142949
2018-04-01,build,51.25930125
2018-04-01,build,48.80229052
2018-04-01,build,50.91307376
2018-04-01,build,51.40965176
2018-04-01,build,51.0543489
2018-04-01,build,51.59762487
2018-04-01,build,49.03067831
2018-04-01,build,47.98281316
2018-04-01,build,48.7648327
2018-04-01,build,50.52946857
2018-04-01,build,51.11631266
2018-04-01,build,51.48863058
2018-04-01,build,51.28461311
2018-04-01,build,50.36150398
2018-04-01,build,47.99117505
2018-04-01,build,50.65637113
2018-04-01,build,50.44776551
2018-04-01,build,50.09120301
2018-04-01,build,50.47962303
2018-04-01,build,51.17498136
2018-04-01,build,50.31162213
2018-04-01,build,50.55118292
2018-04-01,build,50.09856758
2018-04-01,build,52.36112379
2018-04-01,build,50.64565779
2018-04-01,build,50.03120898
2018-04-01,build,48.60916441
2018-04-01,build,50.56187908
2018-04-01,build,51.06330709
2018-04-01,build,49.96981869
2018-04-01,build,49.93589086
2018-04-01,build,51.13573744
2018-04-01,build,48.0355365
2018-04-01,build,49.14455555
2018-04-01,build,49.14363867
2018-04-01,build,49.10754598
2018-04-01,build,50.24890649
2018-04-01,build,49.38958765
2018-04-01,build,48.52338176
2018-04-01,build,51.24601553
2018-04-01,build,50.82472324
2018-04-01,build,49.57913862
2018-04-01,build,50.75673958
2018-04-01,build,50.03504005
2018-04-01,build,47.66388405
2018-04-01,build,47.71031997
2018-04-01,build,49.64839875
2018-04-01,build,50.33904583
2018-04-01,build,48.36454998
2018-04-01,build,49.82109679
2018-04-01,build,50.3565027
2018-04-01,build,49.83415342
2018-04-01,build,49.03324682
2018-04-01,build,50.11922432
2018-04-01,build,51.68502089
2018-04-01,build,49.42750266
2018-04-01,build,49.36822219
2018-04-01,build,48.84753205
2018-04-01,build,50.97233103
2018-04-01,build,51.13544892
2018-04-01,build,51.9986722
2018-04-01,build,49.67655267
2018-04-01,build,50.9687945
2018-04-01,build,49.36966538
2018-04-01,build,47.0026028
2018-04-01,build,50.26799279
2018-04-01,build,50.14007167
2018-04-01,build,50.15074803
2018-04-01,build,49.84531669
2018-04-01,build,50.95776241
2018-04-01,build,50.26081202
2018-04-01,build,50.95245753
2018-04-01,build,48.95113221
2018-04-01,build,50.22704508
2018-04-01,build,50.26897072
2018-04-01,build,51.65643715
2018-04-01,build,50.67659126
2018-04-01,build,50.93420064
2018-04-01,build,49.8120456
2018-04-01,build,49.75151523
2018-04-01,build,50.02311326
2018-04-01,build,48.07314555
2018-04-01,build,50.74675035
2018-04-01,build,51.43496805
2018-04-01,build,50.88990974
2018-04-01,build,49.74611755
2018-04-01,build,48.09789819
2018-04-01,build,49.15216869
2018-04-01,build,51.13700758
2018-04-01,build,50.37928313
2018-04-01,build,49.93749406
2018-04-01,build,48.52603347
2018-04-01,build,50.49891658
2018-04-01,build,51.36524985
2018-04-01,build,51.05664316
2018-04-01,build,50.62318733
2018-04-01,build,49.30235884
2018-04-01,build,48.60500522
2018-04-01,build,49.72070321
2018-04-01,build,50.63235258
2018-04-01,build,51.1792738
2018-04-01,build,47.29625763
2018-04-01,build,50.1469846
2018-04-01,build,50.95815258
2018-04-01,build,51.84916849
2018-04-01,build,51.42280836
2018-04-01,build,50.11586914
2018-04-01,build,48.86420671
2018-04-01,build,50.04299221
2018-04-01,build,50.60910922
2018-04-01,build,50.3748168
2018-04-01,build,50.12122952
2018-04-01,build,48.00996967
2018-04-01,build,52.30644587
2018-04-01,build,50.05163405
2018-04-01,build,49.37860289
2018-04-01,build,49.00225835
2018-04-01,build,49.65387623
2018-04-01,build,49.80410703
2018-04-01,build,49.17297197
2018-04-01,build,49.76593061
2018-04-01,build,50.81979462
2018-04-01,build,50.66435978
2018-04-01,build,48.2862591
2018-04-01,build,48.68002415
2018-04-01,build,51.34002371
2018-04-01,build,51.11991773
2018-04-01,build,48.68924288
2018-04-01,build,49.38323314
2018-04-01,build,50.12205851
2018-04-01,build,50.10920322
2018-04-01,build,50.36626811
2018-04-01,build,51.16370891
2018-04-01,build,50.91141819
2018-04-01,build,50.01907524
2018-04-01,build,51.12737242
2018-04-01,build,51.35205435
2018-04-01,build,49.74605028
2018-04-01,build,48.84639603
2018-04-01,build,50.32007885
2018-04-01,build,49.47350518
2018-04-01,build,48.81918568
2018-04-01,build,49.76336746
2018-04-01,build,50.04507419
2018-04-01,build,50.34927591
2018-04-01,build,50.28897169
2018-04-01,build,50.06846767
2018-04-01,build,49.69360305
2018-04-01,build,48.79709325
2018-04-01,build,48.31403901
2018-04-01,build,49.18316176
2018-04-01,build,48.75977601
2018-04-01,build,50.01904175
2018-04-01,build,48.90223067
2018-04-01,build,48.94113502
2018-04-01,build,48.53348862
2018-04-01,build,50.93237695
2018-04-01,build,49.76919002
2018-04-01,build,51.20862906
2018-04-01,build,49.42022946
2018-04-01,build,50.52758909
2018-04-01,build,51.19781246
2018-04-01,build,52.61163353
2018-04-01,build,49.86530449
2018-04-01,build,49.86735751
2018-04-01,build,49.30034637
2018-04-01,build,48.72542566
2018-04-01,build,49.74545991
2018-04-01,build,48.6246651
2018-04-01,build,49.91549746
2018-04-01,build,49.39932418
2018-04-01,build,50.04755749
2018-04-01,build,49.73851684
2018-04-01,build,49.27435509
2018-04-01,build,50.87612011
2018-04-01,build,49.05486671
2018-04-01,build,50.20113973
2018-04-01,build,49.16040322
2018-04-01,build,49.01344619
2018-04-01,build,48.56121067
2018-04-01,build,50.27796129
2018-04-01,build,49.9694383
2018-04-01,build,50.71524436
2018-04-01,build,49.19486418
2018-04-01,build,49.65654459
2018-04-01,build,50.85429502
2018-04-01,build,50.16463197
